RSD,1,23,202210,1023,2022
RSD,2,20,202210,1023,2022
RSD,3,21,202210,1023,2022
RSD,4,20,202210,1023,2022
RSD,5,12,202210,1023,2022
RSD,6,13,202210,1023,2022
RSD,7,19,202210,1023,2022
RIS,1,23,202301,0122,2023
RIS,2,20,202301,0122,2023
RIS,3,21,202301,0122,2023
RIS,4,20,202301,0122,2023
RIS,5,12,202301,0122,2023
RIS,6,13,202301,0122,2023
RIS,7,19,202301,0122,2023
DFT,1,25,202306,0612,2023
DFT,2,23,202306,0612,2023
DFT,3,20,202306,0612,2023
DFT,1,20,202310,1025,2023
DFT,2,21,202310,1025,2023
DFT,3,19,202310,1025,2023
RDS,1,20,202310,1025,2023
RDS,2,21,202306,0612,2023
RDS,3,19,202306,0612,2023
RDS,4,20,202306,0612,2023
RDS,5,21,202306,0612,2023
RDS,6,19,202306,0612,2023
RDS,1,20,202310,1025,2023
RDS,2,21,202310,1025,2023
RDS,3,19,202310,1025,2023
RDS,1,20,202401,0121,2024
RDS,2,21,202401,0121,2024
RDS,3,19,202401,0121,2024
RQA,1,20,202310,1025,2023
RQA,2,21,202310,1025,2023
RQA,3,19,202310,1025,2023
RQA,1,20,202401,0121,2024
RQA,2,21,202401,0121,2024
RQA,3,19,202401,0121,2024
